Check record,Record,Country,State,County,Location,Grid,Trail,Plot,Distance.begining,Side,Transect.length,N.subplots,sampling.protocol,Data(YYYYMMDD),Class,Order,Family,Subfamily,Genus,Taxon,cf,Frequency,LAT,LONG,easting (UTM),northing (UTM),Trophic.group,Observacao.variedade,Observacao,Coletor1,Determinador,Coletor2,Determinador
462,462,Brasil,Amazonas,,BR319,Purupuru,1,4500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Amitermes,Amitermes_exellens,,1,-3.34439789,-59.82082402,NA,NA,MSD,,,,,,
463,463,Brasil,Amazonas,,BR319,Igapo-acu,1,500,80,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cavitermes,Cavitermes_tuberosus,,1,-4.6096445,-61.2500883,NA,NA,H,,,,,,
"464,464,Brasil,Amazonas,Manaus,campusUFAM,,,1,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cavitermes,Cavitermes_tuberosus,,1,-3.104821,-59.973679,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"465,465,Brasil,Amazonas,Manaus,campusUFAM,,,1,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cavitermes,Cavitermes_tuberosus,,1,-3.104821,-59.973679,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"466,466,Brasil,Amazonas,Manaus,campusUFAM,,,11,100,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cornicapritermes,Cornicapritermes_sp._1,,1,-3.093342,-59.963203,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
467,467,Brasil,Amazonas,,BR319,Igapo-acu,2,1500,230,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Crepititermes,Crepititermes_verruculosus,,1,-4.6104867,-61.2637139,NA,NA,H,,,,,,
468,468,Brasil,Amazonas,,BR319,Purupuru,1,3500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Crepititermes,Crepititermes_verruculosus,,1,-3.3464562,-59.8295038,NA,NA,H,,,,,,
"469,469,Brasil,Amazonas,Manaus,campusUFAM,,,14,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_flangiatus,,1,-3.098144,-59.972179,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"470,470,Brasil,Amazonas,Manaus,campusUFAM,,,14,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_flangiatus,,1,-3.098144,-59.972179,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
471,471,Brasil,Amazonas,,BR319,Igapo-acu,1,4500,80,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_flangiatus,,1,-4.5854027,-61.2787987,NA,NA,M,,,,,,
472,472,Brasil,Amazonas,,BR319,Igapo-acu,1,500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.6096445,-61.2500883,NA,NA,M,,,,,,
473,473,Brasil,Amazonas,,BR319,Igapo-acu,1,500,80,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.6096445,-61.2500883,NA,NA,M,,,,,,
474,474,Brasil,Amazonas,,BR319,Igapo-acu,1,1500,230,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.6032769,-61.257797,NA,NA,M,,,,,,
475,475,Brasil,Amazonas,,BR319,Igapo-acu,1,2500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.5974244,-61.2654359,NA,NA,M,,,,,,
476,476,Brasil,Amazonas,,BR319,Igapo-acu,1,3500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.5913411,-61.2721843,NA,NA,M,,,,,,
477,477,Brasil,Amazonas,,BR319,Igapo-acu,1,3500,80,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.5913411,-61.2721843,NA,NA,M,,,,,,
478,478,Brasil,Amazonas,,BR319,Igapo-acu,1,4500,230,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.5854027,-61.2787987,NA,NA,M,,,,,,
479,479,Brasil,Amazonas,,BR319,Igapo-acu,2,500,30,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.6165592,-61.2570781,NA,NA,M,,,,,,
480,480,Brasil,Amazonas,,BR319,Igapo-acu,2,500,80,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.6165592,-61.2570781,NA,NA,M,,,,,,
481,481,Brasil,Amazonas,,BR319,Igapo-acu,2,1500,30,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.6104867,-61.2637139,NA,NA,M,,,,,,
482,482,Brasil,Amazonas,,BR319,Igapo-acu,2,1500,80,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.6104867,-61.2637139,NA,NA,M,,,,,,
483,483,Brasil,Amazonas,,BR319,Igapo-acu,2,2500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.6043445,-61.2703712,NA,NA,M,,,,,,
484,484,Brasil,Amazonas,,BR319,Igapo-acu,2,3500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.5977462,-61.2765402,NA,NA,M,,,,,,
485,485,Brasil,Amazonas,,BR319,Igapo-acu,2,3500,30,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.5977462,-61.2765402,NA,NA,M,,,,,,
486,486,Brasil,Amazonas,,BR319,Igapo-acu,2,3500,80,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-4.5977462,-61.2765402,NA,NA,M,,,,,,
487,487,Brasil,Amazonas,,BR319,Purupuru,2,500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.362924997,-59.85303702,NA,NA,M,,,,,,
488,488,Brasil,Amazonas,,BR319,Purupuru,2,500,230,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.362924997,-59.85303702,NA,NA,M,,,,,,
489,489,Brasil,Amazonas,,BR319,Purupuru,2,500,30,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.362924997,-59.85303702,NA,NA,M,,,,,,
490,490,Brasil,Amazonas,,BR319,Purupuru,2,1500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.36066599,-59.84451103,NA,NA,M,,,,,,
491,491,Brasil,Amazonas,,BR319,Purupuru,2,1500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.36066599,-59.84451103,NA,NA,M,,,,,,
492,492,Brasil,Amazonas,,BR319,Purupuru,2,1500,230,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.36066599,-59.84451103,NA,NA,M,,,,,,
"493,493,Brasil,Amazonas,Manaus,campusUFAM,,,4,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.098541,-59.982655,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"494,494,Brasil,Amazonas,Manaus,campusUFAM,,,5,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.099633,-59.982967,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"495,495,Brasil,Amazonas,Manaus,campusUFAM,,,8,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.091234,-59.969791,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"496,496,Brasil,Amazonas,Manaus,campusUFAM,,,11,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.093342,-59.963203,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"497,497,Brasil,Amazonas,Manaus,campusUFAM,,,11,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.093342,-59.963203,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"498,498,Brasil,Amazonas,Manaus,campusUFAM,,,13,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.085591,-59.951862,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"499,499,Brasil,Amazonas,Manaus,campusUFAM,,,15,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.105973,-59.971752,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"500,500,Brasil,Amazonas,Manaus,campusUFAM,,,15,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.105973,-59.971752,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"501,501,Brasil,Amazonas,Manaus,campusUFAM,,,15,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.105973,-59.971752,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"502,502,Brasil,Amazonas,Manaus,campusUFAM,,,1,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.104821,-59.973679,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"503,503,Brasil,Amazonas,Manaus,campusUFAM,,,3,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.102887,-59.978607,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"504,504,Brasil,Amazonas,Manaus,campusUFAM,,,3,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.102887,-59.978607,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"505,505,Brasil,Amazonas,Manaus,campusUFAM,,,4,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.098541,-59.982655,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"506,506,Brasil,Amazonas,Manaus,campusUFAM,,,6,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.097006,-59.977184,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"507,507,Brasil,Amazonas,Manaus,campusUFAM,,,8,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.091234,-59.969791,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"508,508,Brasil,Amazonas,Manaus,campusUFAM,,,8,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.091234,-59.969791,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"509,509,Brasil,Amazonas,Manaus,campusUFAM,,,9,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.088826,-59.970547,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"510,510,Brasil,Amazonas,Manaus,campusUFAM,,,9,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.088826,-59.970547,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"511,511,Brasil,Amazonas,Manaus,campusUFAM,,,9,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.088826,-59.970547,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"512,512,Brasil,Amazonas,Manaus,campusUFAM,,,10,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.086623,-59.96331,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"513,513,Brasil,Amazonas,Manaus,campusUFAM,,,11,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.093342,-59.963203,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"514,514,Brasil,Amazonas,Manaus,campusUFAM,,,12,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.090358,-59.959705,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"515,515,Brasil,Amazonas,Manaus,campusUFAM,,,12,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.090358,-59.959705,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"516,516,Brasil,Amazonas,Manaus,campusUFAM,,,14,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.098144,-59.972179,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"517,517,Brasil,Amazonas,Manaus,campusUFAM,,,15,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.105973,-59.971752,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"518,518,Brasil,Amazonas,Manaus,campusUFAM,,,1,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.104821,-59.973679,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"519,519,Brasil,Amazonas,Manaus,campusUFAM,,,2,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.105662,-59.978184,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"520,520,Brasil,Amazonas,Manaus,campusUFAM,,,7,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.094702,-59.972889,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"521,521,Brasil,Amazonas,Manaus,campusUFAM,,,7,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.094702,-59.972889,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"522,522,Brasil,Amazonas,Manaus,campusUFAM,,,9,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.088826,-59.970547,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"523,523,Brasil,Amazonas,Manaus,campusUFAM,,,9,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.088826,-59.970547,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"524,524,Brasil,Amazonas,Manaus,campusUFAM,,,11,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.093342,-59.963203,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"525,525,Brasil,Amazonas,Manaus,campusUFAM,,,13,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.085591,-59.951862,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"526,526,Brasil,Amazonas,Manaus,campusUFAM,,,13,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.085591,-59.951862,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"527,527,Brasil,Amazonas,Manaus,campusUFAM,,,14,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.098144,-59.972179,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"528,528,Brasil,Amazonas,Manaus,campusUFAM,,,15,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.105973,-59.971752,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"529,529,Brasil,Amazonas,Manaus,campusUFAM,,,15,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.105973,-59.971752,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"530,530,Brasil,Amazonas,Manaus,campusUFAM,,,15,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.105973,-59.971752,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"531,531,Brasil,Amazonas,Manaus,campusUFAM,,,2,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.105662,-59.978184,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"532,532,Brasil,Amazonas,Manaus,campusUFAM,,,4,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.098541,-59.982655,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"533,533,Brasil,Amazonas,Manaus,campusUFAM,,,7,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.094702,-59.972889,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"534,534,Brasil,Amazonas,Manaus,campusUFAM,,,8,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.091234,-59.969791,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"535,535,Brasil,Amazonas,Manaus,campusUFAM,,,9,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.088826,-59.970547,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"536,536,Brasil,Amazonas,Manaus,campusUFAM,,,9,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.088826,-59.970547,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"537,537,Brasil,Amazonas,Manaus,campusUFAM,,,10,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.086623,-59.96331,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"538,538,Brasil,Amazonas,Manaus,campusUFAM,,,10,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.086623,-59.96331,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"539,539,Brasil,Amazonas,Manaus,campusUFAM,,,13,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.085591,-59.951862,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"540,540,Brasil,Amazonas,Manaus,campusUFAM,,,4,100,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.098541,-59.982655,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"541,541,Brasil,Amazonas,Manaus,campusUFAM,,,9,100,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.088826,-59.970547,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"542,542,Brasil,Amazonas,Manaus,campusUFAM,,,9,100,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.088826,-59.970547,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"543,543,Brasil,Amazonas,Manaus,campusUFAM,,,10,100,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.086623,-59.96331,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"544,544,Brasil,Amazonas,Manaus,campusUFAM,,,10,100,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.086623,-59.96331,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"545,545,Brasil,Amazonas,Manaus,campusUFAM,,,11,100,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.093342,-59.963203,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"546,546,Brasil,Amazonas,Manaus,campusUFAM,,,14,100,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.098144,-59.972179,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"547,547,Brasil,Amazonas,Manaus,campusUFAM,,,15,100,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,1,-3.105973,-59.971752,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"548,548,Brasil,Amazonas,Manaus,campusUFAM,,,5,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Genuotermes,Genuotermes_spinifer,,1,-3.099633,-59.982967,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
"549,549,Brasil,Amazonas,Manaus,campusUFAM,,,15,100,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Inquilinitermes,Inquilinitermes_sp._1,,1,-3.105973,-59.971752,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
550,550,Brasil,Amazonas,,BR319,Purupuru,1,2500,30,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Microcerotermes,Microcerotermes_sp._2,cf.,1,-3.348887237,-59.83823148,NA,NA,M,,,,,,
551,551,Brasil,Amazonas,,BR319,Purupuru,1,4500,230,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Microcerotermes,Microcerotermes_sp._2,cf.,1,-3.34439789,-59.82082402,NA,NA,M,,,,,,
552,552,Brasil,Amazonas,,BR319,Purupuru,2,3500,30,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Microcerotermes,Microcerotermes_sp._2,cf.,1,-3.356154431,-59.82702739,NA,NA,M,,,,,,
553,553,Brasil,Amazonas,,BR319,Purupuru,2,4500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Microcerotermes,Microcerotermes_sp._2,cf.,1,-3.354085861,-59.81817266,NA,NA,M,,,,,,
554,554,Brasil,Amazonas,,BR319,Purupuru,1,3500,30,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Microcerotermes,Microcerotermes_strunkii,cf.,1,-3.3464562,-59.8295038,NA,NA,M,,,,,,
555,555,Brasil,Amazonas,,BR319,Purupuru,1,4500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Microcerotermes,Microcerotermes_strunkii,cf.,1,-3.34439789,-59.82082402,NA,NA,M,,,,,,
556,556,Brasil,Amazonas,,BR319,Purupuru,1,4500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Microcerotermes,Microcerotermes_strunkii,cf.,1,-3.34439789,-59.82082402,NA,NA,M,,,,,,
557,557,Brasil,Amazonas,,BR319,Purupuru,2,3500,230,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Termitinae,Microcerotermes,Microcerotermes_strunkii,cf.,1,-3.356154431,-59.82702739,NA,NA,M,,,,,,
"558,558,Brasil,Amazonas,Manaus,campusUFAM,,,5,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Termitinae,Microcerotermes,Microcerotermes_strunkii,,1,-3.099633,-59.982967,NA,NA,,,,""Silva,V.N.V."",""Silva,V.N.V."",""Dambros,C.S."","
